type,size,time
strassen,4,0
traditional,4,0
strassen,5,0
traditional,5,0
strassen,6,0
traditional,6,0
strassen,7,0
traditional,7,0
strassen,8,0
traditional,8,0
strassen,9,0
traditional,9,0
strassen,10,0
traditional,10,0
strassen,11,0
traditional,11,0
strassen,12,0
traditional,12,0
strassen,13,0
traditional,13,0
strassen,14,0
traditional,14,0
strassen,15,0
traditional,15,0
strassen,16,0
traditional,16,0
strassen,17,0
traditional,17,0
strassen,18,0
traditional,18,0
strassen,19,0
traditional,19,0
strassen,20,0
traditional,20,0
strassen,21,0
traditional,21,0
strassen,22,0
traditional,22,0
strassen,23,0
traditional,23,0
strassen,24,0
traditional,24,0
strassen,25,0
traditional,25,0
strassen,26,0
traditional,26,0
strassen,27,0
traditional,27,0
strassen,28,0
traditional,28,0
strassen,29,0
traditional,29,0
strassen,30,0
traditional,30,0
strassen,31,1
traditional,31,0
strassen,32,1
traditional,32,1
strassen,33,0
traditional,33,0
strassen,34,0
traditional,34,0
strassen,35,0
traditional,35,0
strassen,36,1
traditional,36,0
strassen,37,1
traditional,37,0
strassen,38,1
traditional,38,0
strassen,39,1
traditional,39,0
strassen,40,1
traditional,40,0
strassen,41,0
traditional,41,0
strassen,42,0
traditional,42,0
strassen,43,0
traditional,43,0
strassen,44,0
traditional,44,0
strassen,45,0
traditional,45,0
strassen,46,0
traditional,46,0
strassen,47,0
traditional,47,0
strassen,48,0
traditional,48,0
strassen,49,0
traditional,49,0
strassen,50,0
traditional,50,0
strassen,51,0
traditional,51,0
strassen,52,0
traditional,52,0
strassen,53,0
traditional,53,0
strassen,54,0
traditional,54,0
strassen,55,0
traditional,55,0
strassen,56,0
traditional,56,0
strassen,57,0
traditional,57,0
strassen,58,0
traditional,58,0
strassen,59,1
traditional,59,0
strassen,60,0
traditional,60,0
strassen,61,0
traditional,61,0
strassen,62,0
traditional,62,0
strassen,63,0
traditional,63,0
strassen,64,0
traditional,64,0
strassen,65,0
traditional,65,0
strassen,66,0
traditional,66,0
strassen,67,0
traditional,67,0
strassen,68,0
traditional,68,0
strassen,69,0
traditional,69,0
strassen,70,0
traditional,70,0
strassen,71,0
traditional,71,0
strassen,72,0
traditional,72,0
strassen,73,0
traditional,73,0
strassen,74,0
traditional,74,0
strassen,75,0
traditional,75,0
strassen,76,0
traditional,76,0
strassen,77,1
traditional,77,0
strassen,78,0
traditional,78,0
strassen,79,1
traditional,79,0
strassen,80,1
traditional,80,0
strassen,81,0
traditional,81,0
strassen,82,1
traditional,82,0
strassen,83,1
traditional,83,0
strassen,84,1
traditional,84,0
strassen,85,1
traditional,85,0
strassen,86,1
traditional,86,0
strassen,87,1
traditional,87,0
strassen,88,1
traditional,88,0
strassen,89,1
traditional,89,0
strassen,90,1
traditional,90,1
strassen,91,1
traditional,91,0
strassen,92,1
traditional,92,0
strassen,93,1
traditional,93,0
strassen,94,1
traditional,94,0
strassen,95,1
traditional,95,1
strassen,96,1
traditional,96,0
strassen,97,1
traditional,97,0
strassen,98,1
traditional,98,1
strassen,99,4
traditional,99,1
strassen,100,1
traditional,100,1
strassen,101,1
traditional,101,0
strassen,102,1
traditional,102,0
strassen,103,1
traditional,103,1
strassen,104,1
traditional,104,1
strassen,105,1
traditional,105,1
strassen,106,1
traditional,106,1
strassen,107,1
traditional,107,1
strassen,108,1
traditional,108,1
strassen,109,1
traditional,109,1
