size,time
4,7498
5,7241
6,7169
7,6758
8,2079
9,2037
10,2031
11,2037
12,2061
13,2037
14,2037
15,2040
16,907
17,930
18,922
19,893
20,881
21,856
22,865
23,840
24,842
25,844
26,843
27,840
28,871
29,860
30,845
31,841
32,519
33,532
34,520
35,521
36,518
37,538
38,521
39,526
40,521
41,533
42,518
43,533
44,556
45,598
46,606
47,637
48,607
49,587
50,583
51,578
52,569
53,579
54,583
55,595
56,615
57,606
58,592
59,586
60,584
61,614
62,608
63,560
64,548
65,546
66,534
67,559
68,554
69,584
70,563
71,553
72,518
73,528
74,556
75,558
76,562
77,555
78,555
79,553
80,597
81,547
82,592
83,591
84,557
85,557
86,548
87,550
88,550
89,558
90,547
91,552
92,545
93,530
94,517
95,490
96,481
97,481
98,486
99,483
100,496
101,486
102,485
103,495
104,481
105,492
106,477
107,482
108,480
109,482
110,480
111,482
112,480
113,479
114,479
115,483
116,477
117,483
118,485
119,495
120,518
121,532
122,498
123,479
124,499
125,128
126,118
127,116
128,118
129,115
130,118
131,116
132,115
133,117
134,118
135,115
136,120
137,121
138,114
139,118
140,117
141,114
142,117
143,119
144,113
145,114
146,118
147,114
148,114
149,119
150,115
151,120
152,116
153,115
154,116
155,121
156,114
157,117
158,116
159,114
160,116
161,117
162,114
163,117
164,122
165,114
166,116
167,117
168,116
169,115
170,118
171,116
172,114
173,116
174,116
175,116
176,117
177,116
178,113
179,117
180,116
181,115
182,116
183,118
184,116
185,120
186,117
187,115
188,116
189,124
190,118
191,117
192,121
193,116
194,125
195,117
196,114
197,116
198,118
199,117
200,123
201,122
202,117
203,115
204,119
205,119
206,117
207,120
208,118
209,116
210,119
211,115
212,113
213,118
214,118
215,116
216,117
217,116
218,114
219,121
220,117
221,117
222,119
223,119
224,115
225,117
226,118
227,115
228,118
229,116
230,115
231,118
232,118
233,120
234,117
235,118
236,121
237,117
238,118
239,114
240,117
241,118
242,116
243,125
244,119
245,118
246,118
247,119
248,117
249,117
250,96
251,96
252,92
253,91
254,97
255,89
256,89
257,90
258,88
259,90
260,90
261,88
262,90
263,91
264,89
265,117
266,92
267,88
268,89
269,92
270,89
271,88
272,92
273,89
274,88
275,93
276,89
277,89
278,90
279,89
280,89
281,92
282,89
283,88
284,89
285,90
286,89
287,97
288,93
289,89
290,89
291,93
292,91
293,90
294,94
295,91
296,88
297,90
298,90
299,89
300,91
301,94
302,89
303,92
304,90
305,88
306,91
307,88
308,89
309,93
310,88
311,89
312,89
313,91
314,89
315,90
316,92
317,88
318,89
319,90
320,90
321,88
322,90
323,88
324,89
325,91
326,89
327,91
328,99
329,90
330,89
331,93
332,89
333,90
334,92
335,88
336,89
337,92
338,88
339,89
340,90
341,91
342,91
343,88
344,91
345,88
346,88
347,95
348,88
349,90
350,96
351,90
352,88
353,96
354,90
355,89
356,92
357,89
358,90
359,91
360,90
361,88
362,91
363,87
364,90
365,92
366,89
367,90
368,91
369,91
370,90
371,90
372,93
373,89
374,90
375,93
376,89
377,89
378,94
379,90
380,90
381,92
382,90
383,90
384,92
385,90
386,90
387,90
388,89
389,88
390,91
391,90
392,89
393,91
394,91
395,91
396,91
397,96
398,95
399,92
400,94
401,87
402,89
403,91
404,88
405,89
406,91
407,89
408,90
409,92
410,87
411,88
412,91
413,89
414,91
415,94
416,89
417,88
418,91
419,89
420,88
421,92
422,89
423,90
424,90
425,90
426,88
427,89
428,90
429,90
430,90
431,91
432,89
433,89
434,92
435,90
436,89
437,91
438,91
439,89
440,92
441,89
442,90
443,93
444,94
445,88
446,91
447,90
448,90
449,92
450,90
451,89
452,88
453,91
454,89
455,88
456,92
457,90
458,90
459,90
460,88
461,89
462,90
463,88
464,90
465,92
466,88
467,90
468,91
469,90
470,89
471,92
472,89
473,90
474,93
475,89
476,90
477,91
478,90
479,89
480,90
481,90
482,88
483,91
484,99
485,96
486,95
487,91
488,90
489,92
490,105
491,101
492,101
493,104
494,98
495,90
496,104
497,107
498,107
499,110
500,112
