score,time
145257531586,427
7,504
6,510
9,474
1,520
4,503
0,493
2,467
1,485
3,460
1,482
1,487
9,465
2,487
1,452
1,496
4,484
1,460
2,477
2,448
1,478
1,438
0,464
1,472
2,468
2,507
38939605591,346
190413135696,356
0,491
314608789184,368
18,470
4,446
1,511
22966974256,359
3,454
2,447
2,506
5984009901,368
16,464
2,464
0,517
1,517
0,508
6,476
8,418
2,522
0,504
3,468
2,452
2,484
0,462
4,468
0,525
1,489
3,494
2,458
1,465
32,388
2,494
3,476
0,421
1,538
10,514
0,536
54992476612,374
5,523
115157512906,364
1,457
0,429
1,502
1,475
0,478
2,444
1,461
0,478
4,401
8,435
1,508
3,477
1,496
7,518
2,469
2,425
0,465
577,374
75726762121,354
2,468
1,509
130601178124,355
0,483
2,475
2,445
7,455
6,407
0,469
1,516
0,505
0,453
0,472
4,449
