score,time
145257531586,908
1,917
0,876
1,860
1,889
0,896
0,860
0,851
1,846
1,850
1,862
1,850
1,856
0,847
1,842
1,846
0,831
1,851
0,848
0,874
1,854
1,858
0,825
1,846
0,856
0,841
38939605591,829
190413135696,818
0,845
314608789184,831
0,849
0,836
1,878
22966974256,851
1,868
0,874
0,847
5984009901,817
0,848
0,835
0,842
1,869
0,827
0,846
0,844
0,878
0,897
1,884
0,850
0,838
0,964
0,832
0,836
1,857
1,847
0,865
1,856
2,850
0,845
1,851
0,851
1,891
0,909
0,951
54992476612,907
1,958
115157512906,865
1,866
0,826
1,826
1,824
0,832
0,829
1,814
0,825
0,802
0,805
1,897
1,863
1,854
1,846
0,852
0,839
0,861
5,855
75726762121,833
0,856
1,845
130601178124,832
0,841
0,845
0,846
1,859
0,862
0,851
1,843
0,835
0,838
0,857
0,852
