score,time
145257531586,554
1,624
0,635
1,616
1,655
0,585
0,601
0,595
1,588
1,575
1,617
1,626
1,576
0,594
1,586
1,606
0,588
1,600
0,589
0,602
1,588
1,603
0,620
1,607
0,573
0,584
38939605591,487
190413135696,488
0,579
314608789184,499
0,574
0,574
1,620
22966974256,509
1,596
0,568
0,588
5984009901,484
0,581
0,586
0,606
1,621
0,582
0,616
0,595
0,605
0,624
1,589
0,602
0,610
0,590
0,560
0,597
1,602
1,602
0,588
1,604
4,518
0,590
1,581
0,601
1,639
0,631
0,670
54992476612,536
1,665
115157512906,541
1,574
0,548
1,567
1,584
0,562
0,577
1,584
0,583
0,553
0,613
1,626
1,614
1,613
1,614
0,619
0,569
0,601
1,539
75726762121,513
0,563
1,604
130601178124,491
0,596
0,624
0,609
1,593
0,584
0,574
1,591
0,604
0,633
0,598
0,602
