score,time
604015655,18
559923789,11
438482661,13
1244949070,9
456501020,10
422510003,11
259746467,9
207847956,10
193181710,10
186158602,10
87811015,10
85150609,10
1638984009,10
452727385,9
44451998,10
69001859,11
42498354,10
113995989,10
41365706,9
76916600,9
635613344,10
118046664,11
1161915944,10
154936466,9
199476736,11
110359686,10
215319072,12
42199579,10
269137545,10
1055555814,9
217372829,12
122461015,10
93917105,14
29770080,10
962050583,10
57709570,9
566936252,9
171462548,9
280481020,10
72371387,9
71417166,10
62432055,10
186527754,9
787108029,11
204330969,10
42734072,10
46737281,10
459843008,11
15796,10
529189298,12
49824515,10
78437664,10
380805331,11
108440426,11
31675419,10
217389664,9
310504295,11
176063098,11
232636487,10
546418191,11
58486957,10
489835667,10
205884960,10
9796864,10
983119985,10
45434611,10
281536680,11
157340742,11
74852140,12
1422586,10
8820369,10
83458548,10
589822545,10
336778799,9
24371474,9
186103146,9
154095132,11
145417422,11
410853731,11
153706876,11
101028089,10
107570681,10
967399186,9
168573486,9
183508313,11
190661402,10
159684116,10
66811582,9
114585622,9
448725847,10
197125495,11
91013703,10
99870282,11
394335581,9
39025732,10
280847940,11
190058024,10
585486987,10
15770509,10
186290504,10
