score,time
62393663,157
23906967,141
42630353,130
23642926,134
13056504,137
20110837,173
199247349,138
5018862,126
43986948,135
84716954,135
22215205,140
85017109,138
230749967,142
37004567,135
91800308,136
184918871,136
47718296,135
163007843,131
28263940,137
204828388,124
15947356,125
25413992,134
2668018,137
12013526,138
129370830,140
66205274,133
53031662,126
7348763,147
230060187,136
127866056,140
55816409,143
26183377,148
30597591,142
26455702,134
7180083,148
38751534,172
59170826,135
19021668,135
104934408,148
58888099,136
113992120,137
159398393,143
5910580,142
13057575,135
4802509,141
143751614,164
104171819,139
68968586,134
38659364,142
5285640,137
1475909,136
40918820,135
47441849,141
107359010,137
31947931,135
62798876,139
633709,142
143379240,140
1357139,139
318293977,135
67416667,146
18967105,137
179809806,139
7181788,141
35121413,136
44503175,134
40051518,143
18023690,137
28706352,131
46213640,142
101780361,132
41486990,141
161038145,133
20635907,129
61047000,128
7029358,134
1996104,134
39522134,136
22956619,137
175809736,139
11073645,138
17191063,137
136290934,140
57610530,136
6851241,137
11449262,135
10961666,134
19655956,130
307763864,134
50825931,135
23977415,139
14651749,136
34897218,138
27142349,137
5807496,135
58974902,141
95885880,140
42145489,142
109597253,136
17760778,135
