score,time
61,650
37,643
67,654
58,656
6,687
59,616
11,626
10,651
286,644
4,642
57,642
13,642
3,666
1,642
38,628
5,604
60,628
73,610
20,583
76,610
44,649
50,606
6,631
40,631
12,622
46,607
6,706
235,655
1,637
0,588
67,727
59,689
59,634
10,630
225,609
4,617
88,642
54,613
76,655
99,647
180,598
21,669
14,628
107,637
29,617
82,658
5,657
74,702
22,743
2,663
95,644
146,664
69,640
28,596
287,661
96,613
139,639
4,711
75,620
73,694
129,643
19,666
60,616
88,634
95,629
15,615
46,622
20,630
18,646
64,653
31,614
28,598
215,608
15,580
106,618
22,642
118,618
44,645
103,642
34,642
135,616
157,622
78,604
72,611
81,692
34,626
62,609
264,616
76,665
15,668
99,639
111,602
50,665
113,614
32,661
166,649
28,660
23,635
25,650
32,642
